entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.93,0.5,0.1,0.0,1.0,18.369,-41.4718,-52.6915,-52.6915,False,0.3486
1.01,-0.01,0.93,0.5,0.1,0.25,0.75,17.43,-45.0019,-49.5536,-49.5536,False,0.3517
1.01,-0.01,0.93,0.5,0.1,0.5,0.5,16.4253,-41.9208,-46.1386,-46.1386,False,0.356
1.01,-0.01,0.93,0.5,0.1,0.75,0.25,15.3479,-38.3156,-42.411,-42.411,True,0.3619
1.01,-0.01,0.93,0.5,0.1,1.0,0.0,14.1898,-34.0111,-38.3287,-38.3287,True,0.3702
1.01,-0.01,0.93,0.5,0.2,0.0,1.0,17.7315,-45.7274,-50.0924,-50.0924,False,0.354
1.01,-0.01,0.93,0.5,0.2,0.25,0.75,16.8631,-43.1266,-47.0231,-47.0231,False,0.3586
1.01,-0.01,0.93,0.5,0.2,0.5,0.5,15.9392,-40.1558,-43.7078,-43.7078,False,0.3647
1.01,-0.01,0.93,0.5,0.2,0.75,0.25,14.9544,-36.7122,-40.1183,-40.1183,True,0.3728
1.01,-0.01,0.93,0.5,0.2,1.0,0.0,13.9029,-32.6512,-36.2217,-36.2217,True,0.3838
1.01,-0.01,0.93,0.5,0.3,0.0,1.0,17.0532,-43.5946,-47.3051,-47.3051,False,0.3605
1.01,-0.01,0.93,0.5,0.3,0.25,0.75,16.2626,-41.0921,-44.5735,-44.4206,False,0.3661
1.01,-0.01,0.93,0.5,0.3,0.5,0.5,15.4264,-38.2576,-41.8825,-41.3567,True,0.373
1.01,-0.01,0.93,0.5,0.3,0.75,0.25,14.5404,-35.0071,-38.8155,-38.0719,True,0.3819
1.01,-0.01,0.93,0.5,0.3,1.0,0.0,13.6006,-31.2259,-35.3277,-34.8195,True,0.3906
1.01,-0.01,0.93,0.6,0.0,0.0,1.0,18.8199,-45.5908,-56.5194,-56.5194,False,0.333
1.01,-0.01,0.93,0.6,0.0,0.25,0.75,17.8321,-42.4966,-53.2973,-53.2973,False,0.3346
1.01,-0.01,0.93,0.6,0.0,0.5,0.5,16.7673,-43.5902,-49.7615,-49.7615,False,0.337
1.01,-0.01,0.93,0.6,0.0,0.75,0.25,15.6172,-39.8485,-45.8673,-45.8673,True,0.3405
1.01,-0.01,0.93,0.6,0.0,1.0,0.0,14.371,-35.3299,-41.5615,-41.5615,True,0.3458
1.01,-0.01,0.93,0.6,0.1,0.0,1.0,18.2191,-43.3167,-54.1818,-54.1818,False,0.3363
1.01,-0.01,0.93,0.6,0.1,0.25,0.75,17.2952,-40.2932,-50.9979,-50.9979,False,0.3391
1.01,-0.01,0.93,0.6,0.1,0.5,0.5,16.3051,-41.9437,-47.5291,-47.5291,False,0.3431
1.01,-0.01,0.93,0.6,0.1,0.75,0.25,15.2418,-38.3376,-43.7384,-43.7384,True,0.3485
1.01,-0.01,0.93,0.6,0.1,1.0,0.0,14.0971,-34.0312,-39.5826,-39.5826,True,0.3561
1.01,-0.01,0.93,0.6,0.2,0.0,1.0,17.5807,-40.932,-51.6799,-51.6799,False,0.3402
1.01,-0.01,0.93,0.6,0.2,0.25,0.75,16.7274,-43.1519,-48.5547,-48.5547,False,0.3445
1.01,-0.01,0.93,0.6,0.2,0.5,0.5,15.8181,-40.1805,-45.1754,-45.1754,False,0.3501
1.01,-0.01,0.93,0.6,0.2,0.75,0.25,14.8474,-36.7357,-41.5125,-41.5125,True,0.3577
1.01,-0.01,0.93,0.6,0.2,1.0,0.0,13.8092,-32.6724,-37.5317,-37.5317,True,0.3679
1.01,-0.01,0.93,0.6,0.3,0.0,1.0,16.9016,-43.6231,-48.997,-48.997,False,0.345
1.01,-0.01,0.93,0.6,0.3,0.25,0.75,16.1261,-41.1201,-46.0472,-46.0472,False,0.3502
1.01,-0.01,0.93,0.6,0.3,0.5,0.5,15.3045,-38.2846,-42.9059,-42.9059,True,0.3567
