entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,max_dd_real,passed,calmar
1.01,-0.01,0.94,0.1,0.2,0.25,0.75,20.151,-43.6431,-61.1821,-47.5812,True,0.4235
1.01,-0.01,0.94,0.1,0.2,0.5,0.5,19.2729,-40.9361,-56.5344,-44.5417,True,0.4327
1.01,-0.01,0.94,0.1,0.2,0.75,0.25,18.3156,-38.1132,-51.3901,-41.2027,True,0.4445
1.01,-0.01,0.94,0.1,0.2,1.0,0.0,17.271,-35.1958,-47.0908,-37.5108,True,0.4604
1.01,-0.01,0.94,0.1,0.3,0.0,1.0,20.4459,-46.5715,-61.669,-47.3833,True,0.4315
1.01,-0.01,0.94,0.1,0.3,0.25,0.75,19.7011,-44.2144,-58.0773,-44.7137,True,0.4406
1.01,-0.01,0.94,0.1,0.3,0.5,0.5,18.8971,-41.7742,-54.8197,-41.8196,True,0.4519
1.01,-0.01,0.94,0.1,0.3,0.75,0.25,18.0314,-39.237,-51.4544,-38.6675,True,0.4663
1.01,-0.01,0.94,0.1,0.3,1.0,0.0,17.0975,-36.6153,-47.836,-35.2166,True,0.4855
1.01,-0.01,0.94,0.2,0.0,0.0,1.0,20.5748,-55.298,-76.5212,-57.0405,True,0.3607
1.01,-0.01,0.94,0.2,0.0,0.25,0.75,19.8434,-51.7722,-72.4269,-54.028,True,0.3673
1.01,-0.01,0.94,0.2,0.0,0.5,0.5,18.9988,-48.0432,-67.6745,-50.7017,True,0.3747
1.01,-0.01,0.94,0.2,0.0,0.75,0.25,18.0319,-44.1112,-62.1611,-47.0031,True,0.3836
1.01,-0.01,0.94,0.2,0.0,1.0,0.0,16.9327,-39.9649,-55.7642,-42.8577,True,0.3951
1.01,-0.01,0.94,0.2,0.1,0.0,1.0,20.3626,-53.5557,-72.6192,-54.2554,True,0.3753
1.01,-0.01,0.94,0.2,0.1,0.25,0.75,19.6469,-50.3239,-68.4415,-51.3157,True,0.3829
1.01,-0.01,0.94,0.2,0.1,0.5,0.5,18.8352,-46.9335,-63.6703,-48.0871,True,0.3917
1.01,-0.01,0.94,0.2,0.1,0.75,0.25,17.9214,-43.3767,-58.3786,-44.5198,True,0.4025
1.01,-0.01,0.94,0.2,0.1,1.0,0.0,16.898,-39.6412,-53.4773,-40.5531,True,0.4167
1.01,-0.01,0.94,0.2,0.2,0.0,1.0,20.0521,-51.835,-68.2273,-51.2647,True,0.3911
1.01,-0.01,0.94,0.2,0.2,0.25,0.75,19.3706,-48.9213,-64.2963,-48.4189,True,0.4001
1.01,-0.01,0.94,0.2,0.2,0.5,0.5,18.6101,-45.8809,-60.6656,-45.3139,True,0.4107
1.01,-0.01,0.94,0.2,0.2,0.75,0.25,17.7649,-42.7061,-56.6151,-41.9064,True,0.4239
1.01,-0.01,0.94,0.2,0.2,1.0,0.0,16.8288,-39.3892,-52.0764,-38.1458,True,0.4412
1.01,-0.01,0.94,0.2,0.3,0.0,1.0,19.7927,-49.9841,-64.9062,-48.0391,True,0.412
1.01,-0.01,0.94,0.2,0.3,0.25,0.75,19.1432,-47.405,-61.82,-45.3158,True,0.4224
1.01,-0.01,0.94,0.2,0.3,0.5,0.5,18.4313,-44.728,-58.429,-42.3634,True,0.4351
1.01,-0.01,0.94,0.2,0.3,0.75,0.25,17.6532,-41.9475,-54.6903,-39.1513,True,0.4509
1.01,-0.01,0.94,0.2,0.3,1.0,0.0,16.8039,-39.0559,-50.5513,-35.6398,True,0.4715
1.01,-0.01,0.94,0.3,0.0,0.0,1.0,20.2521,-55.1026,-75.6773,-57.1179,True,0.3546
1.01,-0.01,0.94,0.3,0.0,0.25,0.75,19.5846,-51.5475,-71.4736,-54.0718,True,0.3622
1.01,-0.01,0.94,0.3,0.0,0.5,0.5,18.7995,-47.7984,-66.6071,-50.7091,True,0.3707
1.01,-0.01,0.94,0.3,0.0,0.75,0.25,17.8888,-43.8449,-60.9693,-46.9722,True,0.3808
1.01,-0.01,0.94,0.3,0.0,1.0,0.0,16.843,-39.6753,-54.9772,-42.7881,True,0.3936
1.01,-0.01,0.94,0.3,0.1,0.0,1.0,20.1517,-53.1489,-71.9699,-54.273,True,0.3713
1.01,-0.01,0.94,0.3,0.1,0.25,0.75,19.4868,-49.9011,-67.7066,-51.3088,True,0.3798
1.01,-0.01,0.94,0.3,0.1,0.5,0.5,18.7233,-46.4954,-62.8432,-48.052,True,0.3896
1.01,-0.01,0.94,0.3,0.1,0.75,0.25,17.8545,-42.9238,-58.4361,-44.4563,True,0.4016
1.01,-0.01,0.94,0.3,0.1,1.0,0.0,16.8728,-39.1763,-53.4972,-40.4604,True,0.417
1.01,-0.01,0.94,0.3,0.2,0.0,1.0,20.2452,-51.4216,-67.8563,-50.6075,True,0.4
1.01,-0.01,0.94,0.3,0.2,0.25,0.75,19.5697,-48.493,-64.4536,-47.769,True,0.4097
1.01,-0.01,0.94,0.3,0.2,0.5,0.5,18.8116,-45.4385,-60.7959,-44.6725,True,0.4211
1.01,-0.01,0.94,0.3,0.2,0.75,0.25,17.9678,-42.2522,-56.7155,-41.2727,True,0.4353
1.01,-0.01,0.94,0.3,0.2,1.0,0.0,17.0315,-38.9271,-52.1435,-37.5267,True,0.4539
1.01,-0.01,0.94,0.3,0.3,0.0,1.0,20.2759,-49.7536,-65.2459,-46.5845,True,0.4352
1.01,-0.01,0.94,0.3,0.3,0.25,0.75,19.602,-47.1563,-62.1369,-43.9117,True,0.4464
1.01,-0.01,0.94,0.3,0.3,0.5,0.5,18.8626,-44.4616,-58.7188,-41.0164,True,0.4599
1.01,-0.01,0.94,0.3,0.3,0.75,0.25,18.0531,-41.6655,-54.9495,-37.8677,True,0.4767
1.01,-0.01,0.94,0.3,0.3,1.0,0.0,17.1704,-38.7636,-50.7782,-34.4227,True,0.4988
1.01,-0.01,0.94,0.4,0.0,0.0,1.0,20.7099,-54.8636,-75.4274,-55.9594,True,0.3701
1.01,-0.01,0.94,0.4,0.0,0.25,0.75,20.0207,-51.2909,-71.1885,-52.922,True,0.3783
1.01,-0.01,0.94,0.4,0.0,0.5,0.5,19.2114,-47.5235,-66.2816,-49.572,True,0.3875
1.01,-0.01,0.94,0.4,0.0,0.75,0.25,18.2744,-43.5507,-60.5973,-45.8538,True,0.3985
1.01,-0.01,0.94,0.4,0.0,1.0,0.0,17.2,-39.361,-55.1708,-41.6968,True,0.4125
