entry_signal,drop_level,exit_signal,buy_pct,alloc_base,alloc_x2,alloc_x3,cagr,worst_ann_ret,max_dd,passed,calmar
1.01,-0.01,0.93,0.8,0.0,0.0,1.0,6.8672,-65.17,-83.4985,False,0.0822
1.01,-0.01,0.93,0.8,0.0,0.25,0.75,7.3483,-61.7744,-79.7015,False,0.0922
1.01,-0.01,0.93,0.8,0.0,0.5,0.5,7.7275,-58.1037,-75.0866,False,0.1029
1.01,-0.01,0.93,0.8,0.0,0.75,0.25,8.004,-54.1135,-70.3266,False,0.1138
1.01,-0.01,0.93,0.8,0.0,1.0,0.0,8.1762,-49.7468,-64.9362,False,0.1259
1.01,-0.01,0.93,0.8,0.1,0.0,1.0,7.3722,-60.9356,-79.7246,False,0.0925
1.01,-0.01,0.93,0.8,0.1,0.25,0.75,7.7702,-57.9191,-75.8592,False,0.1024
1.01,-0.01,0.93,0.8,0.1,0.5,0.5,8.0864,-54.5845,-71.8195,False,0.1126
1.01,-0.01,0.93,0.8,0.1,0.75,0.25,8.3225,-50.9126,-67.4166,False,0.1234
1.01,-0.01,0.93,0.8,0.1,1.0,0.0,8.4723,-46.8705,-62.3362,False,0.1359
1.01,-0.01,0.93,0.8,0.2,0.0,1.0,7.8542,-56.7989,-75.7032,False,0.1037
1.01,-0.01,0.93,0.8,0.2,0.25,0.75,8.1778,-54.1323,-72.3442,False,0.113
1.01,-0.01,0.93,0.8,0.2,0.5,0.5,8.4412,-51.1284,-68.7013,False,0.1229
1.01,-0.01,0.93,0.8,0.2,0.75,0.25,8.6382,-47.7808,-64.5342,False,0.1339
1.01,-0.01,0.93,0.8,0.2,1.0,0.0,8.7639,-44.0776,-59.7754,False,0.1466
1.01,-0.01,0.93,0.8,0.3,0.0,1.0,8.2729,-52.6313,-71.8673,False,0.1151
1.01,-0.01,0.93,0.8,0.3,0.25,0.75,8.5334,-50.3131,-68.8535,False,0.1239
1.01,-0.01,0.93,0.8,0.3,0.5,0.5,8.7475,-47.647,-65.4299,False,0.1337
1.01,-0.01,0.93,0.8,0.3,0.75,0.25,8.9085,-44.6396,-61.5515,False,0.1447
1.01,-0.01,0.93,0.8,0.3,1.0,0.0,9.0112,-41.2955,-57.1696,False,0.1576
1.01,-0.01,0.93,0.9,0.0,0.0,1.0,6.9069,-65.1182,-83.2283,False,0.083
1.01,-0.01,0.93,0.9,0.0,0.25,0.75,7.387,-61.719,-79.3974,False,0.093
1.01,-0.01,0.93,0.9,0.0,0.5,0.5,7.7656,-58.0461,-74.8684,False,0.1037
1.01,-0.01,0.93,0.9,0.0,0.75,0.25,8.042,-54.0567,-70.2342,False,0.1145
1.01,-0.01,0.93,0.9,0.0,1.0,0.0,8.2144,-49.6955,-64.839,False,0.1267
1.01,-0.01,0.93,0.9,0.1,0.0,1.0,7.4201,-60.9686,-79.5324,False,0.0933
1.01,-0.01,0.93,0.9,0.1,0.25,0.75,7.815,-57.9344,-75.6604,False,0.1033
1.01,-0.01,0.93,0.9,0.1,0.5,0.5,8.1318,-54.5895,-71.8273,False,0.1132
1.01,-0.01,0.93,0.9,0.1,0.75,0.25,8.3661,-50.911,-67.4044,False,0.1241
1.01,-0.01,0.93,0.9,0.1,1.0,0.0,8.5142,-46.8675,-62.3043,False,0.1367
1.01,-0.01,0.93,0.9,0.2,0.0,1.0,7.8698,-56.8335,-75.6247,False,0.1041
1.01,-0.01,0.93,0.9,0.2,0.25,0.75,8.1914,-54.1588,-72.3693,False,0.1132
1.01,-0.01,0.93,0.9,0.2,0.5,0.5,8.4526,-51.1482,-68.7204,False,0.123
1.01,-0.01,0.93,0.9,0.2,0.75,0.25,8.6475,-47.7952,-64.5478,False,0.134
1.01,-0.01,0.93,0.9,0.2,1.0,0.0,8.7711,-44.0873,-59.7843,False,0.1467
1.01,-0.01,0.93,0.9,0.3,0.0,1.0,8.2729,-52.6313,-71.8673,False,0.1151
1.01,-0.01,0.93,0.9,0.3,0.25,0.75,8.5334,-50.3131,-68.8535,False,0.1239
1.01,-0.01,0.93,0.9,0.3,0.5,0.5,8.7475,-47.647,-65.4299,False,0.1337
1.01,-0.01,0.93,0.9,0.3,0.75,0.25,8.9085,-44.6396,-61.5515,False,0.1447
1.01,-0.01,0.93,0.9,0.3,1.0,0.0,9.0112,-41.2955,-57.1696,False,0.1576
1.01,-0.01,0.93,1.0,0.0,0.0,1.0,6.945,-65.0665,-82.9552,False,0.0837
1.01,-0.01,0.93,1.0,0.0,0.25,0.75,7.4245,-61.6634,-79.0901,False,0.0939
1.01,-0.01,0.93,1.0,0.0,0.5,0.5,7.8027,-57.9885,-74.7806,False,0.1043
1.01,-0.01,0.93,1.0,0.0,0.75,0.25,8.0791,-53.9998,-70.1416,False,0.1152
1.01,-0.01,0.93,1.0,0.0,1.0,0.0,8.252,-49.6443,-64.7417,False,0.1275
1.01,-0.01,0.93,1.0,0.1,0.0,1.0,7.4297,-60.9782,-79.4905,False,0.0935
1.01,-0.01,0.93,1.0,0.1,0.25,0.75,7.8232,-57.9417,-75.6674,False,0.1034
1.01,-0.01,0.93,1.0,0.1,0.5,0.5,8.1386,-54.5949,-71.8326,False,0.1133
1.01,-0.01,0.93,1.0,0.1,0.75,0.25,8.3717,-50.915,-67.4082,False,0.1242
1.01,-0.01,0.93,1.0,0.1,1.0,0.0,8.5185,-46.8703,-62.3068,False,0.1367
1.01,-0.01,0.93,1.0,0.2,0.0,1.0,7.8698,-56.8335,-75.6247,False,0.1041
1.01,-0.01,0.93,1.0,0.2,0.25,0.75,8.1914,-54.1588,-72.3693,False,0.1132
1.01,-0.01,0.93,1.0,0.2,0.5,0.5,8.4526,-51.1482,-68.7204,False,0.123
1.01,-0.01,0.93,1.0,0.2,0.75,0.25,8.6475,-47.7952,-64.5478,False,0.134
1.01,-0.01,0.93,1.0,0.2,1.0,0.0,8.7711,-44.0873,-59.7843,False,0.1467
1.01,-0.01,0.93,1.0,0.3,0.0,1.0,8.2729,-52.6313,-71.8673,False,0.1151
1.01,-0.01,0.93,1.0,0.3,0.25,0.75,8.5334,-50.3131,-68.8535,False,0.1239
1.01,-0.01,0.93,1.0,0.3,0.5,0.5,8.7475,-47.647,-65.4299,False,0.1337
1.01,-0.01,0.93,1.0,0.3,0.75,0.25,8.9085,-44.6396,-61.5515,False,0.1447
1.01,-0.01,0.93,1.0,0.3,1.0,0.0,9.0112,-41.2955,-57.1696,False,0.1576
1.01,-0.01,0.94,0.1,0.0,0.0,1.0,9.6995,-39.5149,-79.5678,True,0.1219
1.01,-0.01,0.94,0.1,0.0,0.25,0.75,9.7973,-36.6666,-75.5619,True,0.1297
1.01,-0.01,0.94,0.1,0.0,0.5,0.5,9.8058,-33.7547,-70.8169,True,0.1385
1.01,-0.01,0.94,0.1,0.0,0.75,0.25,9.7226,-30.7765,-65.9952,True,0.1473
1.01,-0.01,0.94,0.1,0.0,1.0,0.0,9.5444,-27.7289,-60.7172,True,0.1572
1.01,-0.01,0.94,0.1,0.1,0.0,1.0,9.6111,-38.057,-76.3465,True,0.1259
1.01,-0.01,0.94,0.1,0.1,0.25,0.75,9.7325,-34.9893,-72.3248,True,0.1346
1.01,-0.01,0.94,0.1,0.1,0.5,0.5,9.769,-31.8969,-68.2221,True,0.1432
